[2026-03-17 13:53:34.132] [Download] === START === file=The Godfather - Home Movies.mkv fragment_size=131072 compression=true
[2026-03-17 13:53:34.134] [Download] All sources from Directory:
[2026-03-17 13:53:34.138] [Download]   32.195.67.201:6001 [load=0]
[2026-03-17 13:53:34.138] [Download]   100.54.135.117:6005 [load=0]
[2026-03-17 13:53:34.139] [Download]   54.236.243.227:6004 [load=0]
[2026-03-17 13:53:34.139] [Download]   44.192.106.49:6001 [load=0]
[2026-03-17 13:53:34.139] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 13:53:34.139] [Download]   3.234.226.220:6003 [load=0]
[2026-03-17 13:53:34.140] [Download]   44.220.89.93:6002 [load=0]
[2026-03-17 13:53:34.140] [Download]   13.220.244.217:6002 [load=0]
[2026-03-17 13:53:34.140] [Download] Using 8 source(s):
[2026-03-17 13:53:34.141] [Download]   32.195.67.201:6001 [load=0]
[2026-03-17 13:53:34.141] [Download]   100.54.135.117:6005 [load=0]
[2026-03-17 13:53:34.141] [Download]   54.236.243.227:6004 [load=0]
[2026-03-17 13:53:34.142] [Download]   44.192.106.49:6001 [load=0]
[2026-03-17 13:53:34.142] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 13:53:34.142] [Download]   3.234.226.220:6003 [load=0]
[2026-03-17 13:53:34.143] [Download]   44.220.89.93:6002 [load=0]
[2026-03-17 13:53:34.143] [Download]   13.220.244.217:6002 [load=0]
[2026-03-17 13:53:34.937] [Download] File size: 197256227 bytes (192633 KB)
[2026-03-17 13:53:34.946] [Download] Fragments: 1505 x 128KB, sources: 8
[2026-03-17 13:53:36.205] [FRAG] idx=4 offset=524288 len=131072 source=13.39.21.10:6000 time_ms=1233 speed_KB/s=103 progress=0%
[2026-03-17 13:53:37.183] [FRAG] idx=5 offset=655360 len=131072 source=3.234.226.220:6003 time_ms=2221 speed_KB/s=57 progress=0%
[2026-03-17 13:53:37.436] [FRAG] idx=8 offset=1048576 len=131072 source=13.39.21.10:6000 time_ms=1230 speed_KB/s=104 progress=0%
[2026-03-17 13:53:37.451] [FRAG] idx=6 offset=786432 len=131072 source=44.220.89.93:6002 time_ms=2488 speed_KB/s=51 progress=0%
[2026-03-17 13:53:38.333] [FRAG] idx=7 offset=917504 len=131072 source=13.220.244.217:6002 time_ms=3370 speed_KB/s=37 progress=0%
[2026-03-17 13:53:38.535] [FRAG] idx=0 offset=0 len=131072 source=32.195.67.201:6001 time_ms=3574 speed_KB/s=35 progress=0%
[2026-03-17 13:53:38.677] [FRAG] idx=10 offset=1310720 len=131072 source=13.39.21.10:6000 time_ms=1240 speed_KB/s=103 progress=0%
[2026-03-17 13:53:39.787] [FRAG] idx=9 offset=1179648 len=131072 source=3.234.226.220:6003 time_ms=2603 speed_KB/s=49 progress=0%
[2026-03-17 13:53:39.845] [FRAG] idx=11 offset=1441792 len=131072 source=44.220.89.93:6002 time_ms=2393 speed_KB/s=53 progress=0%
[2026-03-17 13:53:39.909] [FRAG] idx=14 offset=1835008 len=131072 source=13.39.21.10:6000 time_ms=1232 speed_KB/s=103 progress=0%
