[2026-03-17 14:00:27.947] [Download] === START === file=Before.Sunset.2004.720p.BrRip.x264.YIFY.mp4 fragment_size=131072 compression=true
[2026-03-17 14:00:27.949] [Download] All sources from Directory:
[2026-03-17 14:00:27.953] [Download]   100.54.135.117:6005 [load=0]
[2026-03-17 14:00:27.953] [Download]   54.236.243.227:6004 [load=0]
[2026-03-17 14:00:27.954] [Download]   3.234.226.220:6003 [load=0]
[2026-03-17 14:00:27.954] [Download]   44.220.89.93:6002 [load=0]
[2026-03-17 14:00:27.954] [Download]   13.220.244.217:6002 [load=0]
[2026-03-17 14:00:27.955] [Download]   32.195.67.201:6001 [load=1]
[2026-03-17 14:00:27.955] [Download]   44.192.106.49:6001 [load=1]
[2026-03-17 14:00:27.955] [Download]   13.39.21.10:6000 [load=1]
[2026-03-17 14:00:27.956] [Download] Using 8 source(s):
[2026-03-17 14:00:27.956] [Download]   100.54.135.117:6005 [load=0]
[2026-03-17 14:00:27.956] [Download]   54.236.243.227:6004 [load=0]
[2026-03-17 14:00:27.957] [Download]   3.234.226.220:6003 [load=0]
[2026-03-17 14:00:27.957] [Download]   44.220.89.93:6002 [load=0]
[2026-03-17 14:00:27.957] [Download]   13.220.244.217:6002 [load=0]
[2026-03-17 14:00:27.958] [Download]   32.195.67.201:6001 [load=1]
[2026-03-17 14:00:27.958] [Download]   44.192.106.49:6001 [load=1]
[2026-03-17 14:00:27.958] [Download]   13.39.21.10:6000 [load=1]
[2026-03-17 14:00:29.055] [Download] File size: 629293661 bytes (614544 KB)
[2026-03-17 14:00:29.065] [Download] Fragments: 4802 x 128KB, sources: 8
[2026-03-17 14:00:29.298] [FRAG] idx=2 offset=262144 len=131072 source=3.234.226.220:6003 time_ms=196 speed_KB/s=653 progress=0%
[2026-03-17 14:00:29.333] [FRAG] idx=3 offset=393216 len=131072 source=44.220.89.93:6002 time_ms=252 speed_KB/s=507 progress=0%
[2026-03-17 14:00:29.471] [FRAG] idx=4 offset=524288 len=131072 source=13.220.244.217:6002 time_ms=390 speed_KB/s=328 progress=0%
[2026-03-17 14:00:29.560] [FRAG] idx=7 offset=917504 len=131072 source=13.39.21.10:6000 time_ms=478 speed_KB/s=267 progress=0%
[2026-03-17 14:00:29.613] [FRAG] idx=6 offset=786432 len=131072 source=44.192.106.49:6001 time_ms=531 speed_KB/s=241 progress=0%
[2026-03-17 14:00:29.718] [FRAG] idx=5 offset=655360 len=131072 source=32.195.67.201:6001 time_ms=637 speed_KB/s=200 progress=0%
[2026-03-17 14:00:29.845] [FRAG] idx=0 offset=0 len=131072 source=100.54.135.117:6005 time_ms=765 speed_KB/s=167 progress=0%
[2026-03-17 14:00:30.001] [FRAG] idx=11 offset=1441792 len=131072 source=13.39.21.10:6000 time_ms=441 speed_KB/s=290 progress=0%
[2026-03-17 14:00:30.027] [FRAG] idx=8 offset=1048576 len=131072 source=3.234.226.220:6003 time_ms=728 speed_KB/s=175 progress=0%
[2026-03-17 14:00:30.392] [FRAG] idx=15 offset=1966080 len=131072 source=13.39.21.10:6000 time_ms=390 speed_KB/s=328 progress=0%
[2026-03-17 14:00:30.462] [FRAG] idx=9 offset=1179648 len=131072 source=44.220.89.93:6002 time_ms=1129 speed_KB/s=113 progress=0%
[2026-03-17 14:00:30.500] [FRAG] idx=1 offset=131072 len=131072 source=54.236.243.227:6004 time_ms=1420 speed_KB/s=90 progress=0%
[2026-03-17 14:00:30.615] [FRAG] idx=16 offset=2097152 len=131072 source=3.234.226.220:6003 time_ms=588 speed_KB/s=217 progress=0%
[2026-03-17 14:00:30.777] [FRAG] idx=17 offset=2228224 len=131072 source=13.39.21.10:6000 time_ms=384 speed_KB/s=333 progress=0%
[2026-03-17 14:00:30.806] [FRAG] idx=12 offset=1572864 len=131072 source=44.192.106.49:6001 time_ms=1193 speed_KB/s=107 progress=0%
[2026-03-17 14:00:30.942] [FRAG] idx=13 offset=1703936 len=131072 source=32.195.67.201:6001 time_ms=1223 speed_KB/s=104 progress=0%
[2026-03-17 14:00:31.131] [FRAG] idx=14 offset=1835008 len=131072 source=100.54.135.117:6005 time_ms=1286 speed_KB/s=99 progress=0%
[2026-03-17 14:00:31.278] [FRAG] idx=10 offset=1310720 len=131072 source=13.220.244.217:6002 time_ms=1807 speed_KB/s=70 progress=0%
[2026-03-17 14:00:31.369] [FRAG] idx=21 offset=2752512 len=131072 source=13.39.21.10:6000 time_ms=591 speed_KB/s=216 progress=0%
[2026-03-17 14:00:31.557] [FRAG] idx=18 offset=2359296 len=131072 source=44.220.89.93:6002 time_ms=1095 speed_KB/s=116 progress=0%
[2026-03-17 14:00:31.929] [FRAG] idx=20 offset=2621440 len=131072 source=3.234.226.220:6003 time_ms=1313 speed_KB/s=97 progress=0%
[2026-03-17 14:00:32.010] [FRAG] idx=26 offset=3407872 len=131072 source=13.39.21.10:6000 time_ms=639 speed_KB/s=200 progress=0%
[2026-03-17 14:00:32.678] [FRAG] idx=29 offset=3801088 len=131072 source=13.39.21.10:6000 time_ms=668 speed_KB/s=191 progress=0%
[2026-03-17 14:00:33.322] [FRAG] idx=30 offset=3932160 len=131072 source=13.39.21.10:6000 time_ms=643 speed_KB/s=199 progress=0%
[2026-03-17 14:00:33.500] [FRAG] idx=27 offset=3538944 len=131072 source=44.220.89.93:6002 time_ms=1943 speed_KB/s=65 progress=0%
[2026-03-17 14:00:33.693] [FRAG] idx=28 offset=3670016 len=131072 source=3.234.226.220:6003 time_ms=1763 speed_KB/s=72 progress=0%
[2026-03-17 14:00:33.967] [FRAG] idx=31 offset=4063232 len=131072 source=13.39.21.10:6000 time_ms=645 speed_KB/s=198 progress=0%
[2026-03-17 14:00:34.561] [FRAG] idx=25 offset=3276800 len=131072 source=13.220.244.217:6002 time_ms=3282 speed_KB/s=39 progress=0%
[2026-03-17 14:00:34.640] [FRAG] idx=34 offset=4456448 len=131072 source=13.39.21.10:6000 time_ms=671 speed_KB/s=190 progress=0%
[2026-03-17 14:00:34.809] [FRAG] idx=23 offset=3014656 len=131072 source=32.195.67.201:6001 time_ms=3865 speed_KB/s=33 progress=0%
[2026-03-17 14:00:35.295] [FRAG] idx=36 offset=4718592 len=131072 source=13.39.21.10:6000 time_ms=654 speed_KB/s=195 progress=0%
[2026-03-17 14:00:35.520] [FRAG] idx=32 offset=4194304 len=131072 source=44.220.89.93:6002 time_ms=2020 speed_KB/s=63 progress=0%
[2026-03-17 14:00:35.673] [FRAG] idx=33 offset=4325376 len=131072 source=3.234.226.220:6003 time_ms=1980 speed_KB/s=64 progress=0%
[2026-03-17 14:00:35.757] [FRAG] idx=22 offset=2883584 len=131072 source=44.192.106.49:6001 time_ms=4950 speed_KB/s=25 progress=0%
[2026-03-17 14:00:35.908] [FRAG] idx=38 offset=4980736 len=131072 source=13.39.21.10:6000 time_ms=613 speed_KB/s=208 progress=0%
[2026-03-17 14:00:36.561] [FRAG] idx=42 offset=5505024 len=131072 source=13.39.21.10:6000 time_ms=652 speed_KB/s=196 progress=0%
[2026-03-17 14:00:37.212] [FRAG] idx=43 offset=5636096 len=131072 source=13.39.21.10:6000 time_ms=651 speed_KB/s=196 progress=0%
[2026-03-17 14:00:37.593] [FRAG] idx=40 offset=5242880 len=131072 source=3.234.226.220:6003 time_ms=1920 speed_KB/s=66 progress=0%
[2026-03-17 14:00:37.780] [FRAG] idx=44 offset=5767168 len=131072 source=13.39.21.10:6000 time_ms=567 speed_KB/s=225 progress=0%
[2026-03-17 14:00:37.794] [FRAG] idx=39 offset=5111808 len=131072 source=44.220.89.93:6002 time_ms=2273 speed_KB/s=56 progress=0%
[2026-03-17 14:00:37.949] [FRAG] idx=35 offset=4587520 len=131072 source=13.220.244.217:6002 time_ms=3388 speed_KB/s=37 progress=0%
[2026-03-17 14:00:38.049] [FRAG] idx=19 offset=2490368 len=131072 source=54.236.243.227:6004 time_ms=7549 speed_KB/s=16 progress=0%
[2026-03-17 14:00:38.436] [FRAG] idx=46 offset=6029312 len=131072 source=13.39.21.10:6000 time_ms=655 speed_KB/s=195 progress=0%
[2026-03-17 14:00:38.855] [FRAG] idx=37 offset=4849664 len=131072 source=32.195.67.201:6001 time_ms=4046 speed_KB/s=31 progress=0%
[2026-03-17 14:00:38.988] [FRAG] idx=50 offset=6553600 len=131072 source=13.39.21.10:6000 time_ms=552 speed_KB/s=231 progress=0%
[2026-03-17 14:00:39.621] [FRAG] idx=47 offset=6160384 len=131072 source=44.220.89.93:6002 time_ms=1826 speed_KB/s=70 progress=0%
