[2026-03-17 05:20:50.999] [Download] === START === file=The.Godfather.Part.2.1974.1080p.BrRip.x264.BOKUTOX.YIFY.mp4 fragment_size=524288 compression=false
[2026-03-17 05:20:51.000] [Download] All sources from Directory:
[2026-03-17 05:20:51.004] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:20:51.005] [Download] Using 1 source(s):
[2026-03-17 05:20:51.005] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:20:51.256] [Download] File size: 2901310881 bytes (2833311 KB)
[2026-03-17 05:20:51.266] [Download] Fragments: 5534 x 512KB, sources: 1
[2026-03-17 05:20:52.372] [FRAG] idx=0 offset=0 len=524288 source=13.39.21.10:6000 time_ms=1080 speed_KB/s=474 progress=0%
[2026-03-17 05:20:53.501] [FRAG] idx=1 offset=524288 len=524288 source=13.39.21.10:6000 time_ms=1127 speed_KB/s=454 progress=0%
[2026-03-17 05:20:54.650] [FRAG] idx=2 offset=1048576 len=524288 source=13.39.21.10:6000 time_ms=1148 speed_KB/s=445 progress=0%
[2026-03-17 05:20:55.717] [FRAG] idx=3 offset=1572864 len=524288 source=13.39.21.10:6000 time_ms=1066 speed_KB/s=480 progress=0%
[2026-03-17 05:20:56.875] [FRAG] idx=4 offset=2097152 len=524288 source=13.39.21.10:6000 time_ms=1158 speed_KB/s=442 progress=0%
[2026-03-17 05:20:58.005] [FRAG] idx=5 offset=2621440 len=524288 source=13.39.21.10:6000 time_ms=1128 speed_KB/s=453 progress=0%
[2026-03-17 05:20:59.163] [FRAG] idx=6 offset=3145728 len=524288 source=13.39.21.10:6000 time_ms=1158 speed_KB/s=442 progress=0%
[2026-03-17 05:21:00.314] [FRAG] idx=7 offset=3670016 len=524288 source=13.39.21.10:6000 time_ms=1151 speed_KB/s=444 progress=0%
[2026-03-17 05:21:01.472] [FRAG] idx=8 offset=4194304 len=524288 source=13.39.21.10:6000 time_ms=1151 speed_KB/s=444 progress=0%
[2026-03-17 05:21:02.612] [FRAG] idx=9 offset=4718592 len=524288 source=13.39.21.10:6000 time_ms=1139 speed_KB/s=449 progress=0%
[2026-03-17 05:21:03.860] [FRAG] idx=10 offset=5242880 len=524288 source=13.39.21.10:6000 time_ms=1247 speed_KB/s=410 progress=0%
[2026-03-17 05:21:05.010] [FRAG] idx=11 offset=5767168 len=524288 source=13.39.21.10:6000 time_ms=1150 speed_KB/s=445 progress=0%
[2026-03-17 05:21:06.155] [FRAG] idx=12 offset=6291456 len=524288 source=13.39.21.10:6000 time_ms=1144 speed_KB/s=447 progress=0%
[2026-03-17 05:21:07.303] [FRAG] idx=13 offset=6815744 len=524288 source=13.39.21.10:6000 time_ms=1147 speed_KB/s=446 progress=0%
[2026-03-17 05:21:08.456] [FRAG] idx=14 offset=7340032 len=524288 source=13.39.21.10:6000 time_ms=1152 speed_KB/s=444 progress=0%
[2026-03-17 05:21:09.534] [FRAG] idx=15 offset=7864320 len=524288 source=13.39.21.10:6000 time_ms=1078 speed_KB/s=474 progress=0%
[2026-03-17 05:21:10.609] [FRAG] idx=16 offset=8388608 len=524288 source=13.39.21.10:6000 time_ms=1073 speed_KB/s=477 progress=0%
[2026-03-17 05:21:11.757] [FRAG] idx=17 offset=8912896 len=524288 source=13.39.21.10:6000 time_ms=1147 speed_KB/s=446 progress=0%
[2026-03-17 05:21:12.916] [FRAG] idx=18 offset=9437184 len=524288 source=13.39.21.10:6000 time_ms=1158 speed_KB/s=442 progress=0%
[2026-03-17 05:21:14.079] [FRAG] idx=19 offset=9961472 len=524288 source=13.39.21.10:6000 time_ms=1162 speed_KB/s=440 progress=0%
[2026-03-17 05:21:15.225] [FRAG] idx=20 offset=10485760 len=524288 source=13.39.21.10:6000 time_ms=1146 speed_KB/s=446 progress=0%
[2026-03-17 05:21:16.371] [FRAG] idx=21 offset=11010048 len=524288 source=13.39.21.10:6000 time_ms=1144 speed_KB/s=447 progress=0%
[2026-03-17 05:21:17.416] [FRAG] idx=22 offset=11534336 len=524288 source=13.39.21.10:6000 time_ms=1045 speed_KB/s=489 progress=0%
[2026-03-17 05:21:18.566] [FRAG] idx=23 offset=12058624 len=524288 source=13.39.21.10:6000 time_ms=1148 speed_KB/s=445 progress=0%
[2026-03-17 05:21:19.704] [FRAG] idx=24 offset=12582912 len=524288 source=13.39.21.10:6000 time_ms=1137 speed_KB/s=450 progress=0%
[2026-03-17 05:21:20.854] [FRAG] idx=25 offset=13107200 len=524288 source=13.39.21.10:6000 time_ms=1149 speed_KB/s=445 progress=0%
[2026-03-17 05:21:22.004] [FRAG] idx=26 offset=13631488 len=524288 source=13.39.21.10:6000 time_ms=1149 speed_KB/s=445 progress=0%
[2026-03-17 05:21:23.149] [FRAG] idx=27 offset=14155776 len=524288 source=13.39.21.10:6000 time_ms=1145 speed_KB/s=447 progress=0%
[2026-03-17 05:21:24.288] [FRAG] idx=28 offset=14680064 len=524288 source=13.39.21.10:6000 time_ms=1137 speed_KB/s=450 progress=0%
[2026-03-17 05:21:25.361] [FRAG] idx=29 offset=15204352 len=524288 source=13.39.21.10:6000 time_ms=1072 speed_KB/s=477 progress=0%
[2026-03-17 05:21:26.492] [FRAG] idx=30 offset=15728640 len=524288 source=13.39.21.10:6000 time_ms=1131 speed_KB/s=452 progress=0%
[2026-03-17 05:21:27.632] [FRAG] idx=31 offset=16252928 len=524288 source=13.39.21.10:6000 time_ms=1138 speed_KB/s=449 progress=0%
[2026-03-17 05:21:28.789] [FRAG] idx=32 offset=16777216 len=524288 source=13.39.21.10:6000 time_ms=1156 speed_KB/s=442 progress=0%
[2026-03-17 05:21:30.006] [FRAG] idx=33 offset=17301504 len=524288 source=13.39.21.10:6000 time_ms=1216 speed_KB/s=421 progress=0%
[2026-03-17 05:21:31.148] [FRAG] idx=34 offset=17825792 len=524288 source=13.39.21.10:6000 time_ms=1141 speed_KB/s=448 progress=0%
[2026-03-17 05:21:32.293] [FRAG] idx=35 offset=18350080 len=524288 source=13.39.21.10:6000 time_ms=1145 speed_KB/s=447 progress=0%
[2026-03-17 05:21:34.147] [FRAG] idx=36 offset=18874368 len=524288 source=13.39.21.10:6000 time_ms=1852 speed_KB/s=276 progress=0%
[2026-03-17 05:21:35.181] [FRAG] idx=37 offset=19398656 len=524288 source=13.39.21.10:6000 time_ms=1034 speed_KB/s=495 progress=0%
[2026-03-17 05:21:36.314] [FRAG] idx=38 offset=19922944 len=524288 source=13.39.21.10:6000 time_ms=1131 speed_KB/s=452 progress=0%
[2026-03-17 05:21:37.445] [FRAG] idx=39 offset=20447232 len=524288 source=13.39.21.10:6000 time_ms=1130 speed_KB/s=453 progress=0%
[2026-03-17 05:21:38.597] [FRAG] idx=40 offset=20971520 len=524288 source=13.39.21.10:6000 time_ms=1151 speed_KB/s=444 progress=0%
[2026-03-17 05:21:39.750] [FRAG] idx=41 offset=21495808 len=524288 source=13.39.21.10:6000 time_ms=1152 speed_KB/s=444 progress=0%
[2026-03-17 05:21:41.606] [FRAG] idx=42 offset=22020096 len=524288 source=13.39.21.10:6000 time_ms=1855 speed_KB/s=276 progress=0%
[2026-03-17 05:21:42.696] [FRAG] idx=43 offset=22544384 len=524288 source=13.39.21.10:6000 time_ms=1089 speed_KB/s=470 progress=0%
[2026-03-17 05:21:43.841] [FRAG] idx=44 offset=23068672 len=524288 source=13.39.21.10:6000 time_ms=1144 speed_KB/s=447 progress=0%
[2026-03-17 05:21:44.914] [FRAG] idx=45 offset=23592960 len=524288 source=13.39.21.10:6000 time_ms=1072 speed_KB/s=477 progress=0%
[2026-03-17 05:21:46.057] [FRAG] idx=46 offset=24117248 len=524288 source=13.39.21.10:6000 time_ms=1143 speed_KB/s=447 progress=0%
[2026-03-17 05:21:47.211] [FRAG] idx=47 offset=24641536 len=524288 source=13.39.21.10:6000 time_ms=1152 speed_KB/s=444 progress=0%
[2026-03-17 05:21:48.355] [FRAG] idx=48 offset=25165824 len=524288 source=13.39.21.10:6000 time_ms=1144 speed_KB/s=447 progress=0%
[2026-03-17 05:21:49.488] [FRAG] idx=49 offset=25690112 len=524288 source=13.39.21.10:6000 time_ms=1132 speed_KB/s=452 progress=0%
[2026-03-17 05:21:50.643] [FRAG] idx=50 offset=26214400 len=524288 source=13.39.21.10:6000 time_ms=1154 speed_KB/s=443 progress=0%
[2026-03-17 05:21:51.789] [FRAG] idx=51 offset=26738688 len=524288 source=13.39.21.10:6000 time_ms=1144 speed_KB/s=447 progress=0%
